invoice_id;branch;city;customer_type;gender;product_line;unit_price;quantity;invoice_date;invoice_time;payment
189-17-4241;A;Yangon;Normal;Female;Fashion accessories;8767;2;2024-05-06;12:17:00;Credit card
145-94-9061;B;Mandalay;Normal;Female;Food and beverages;8836;5;2024-05-06;19:48:00;Cash
848-62-7243;A;Yangon;Normal;Male;Health and beauty;2489;9;2024-05-06;15:36:00;Cash
871-79-8483;B;Mandalay;Normal;Male;Fashion accessories;9413;5;2024-05-06;19:39:00;Credit card
149-71-6266;B;Mandalay;Member;Male;Sports and travel;7807;9;2024-05-06;12:43:00;Cash
640-49-2076;B;Mandalay;Normal;Male;Sports and travel;8378;8;2024-05-06;14:49:00;Cash
595-11-5460;A;Yangon;Normal;Male;Health and beauty;9658;2;2024-05-06;10:12:00;Credit card
183-56-6882;C;Naypyitaw;Member;Female;Food and beverages;9942;4;2024-05-06;10:42:00;Ewallet
232-16-2483;C;Naypyitaw;Member;Female;Sports and travel;6812;1;2024-05-06;12:28:00;Ewallet
129-29-8530;A;Yangon;Member;Male;Sports and travel;6262;5;2024-05-06;19:15:00;Ewallet
272-65-1806;A;Yangon;Normal;Female;Electronic accessories;6088;9;2024-05-06;17:17:00;Ewallet
333-73-7901;C;Naypyitaw;Normal;Female;Health and beauty;5492;8;2024-05-06;13:24:00;Ewallet
777-82-7220;B;Mandalay;Member;Male;Home and lifestyle;3012;8;2024-05-06;13:01:00;Cash
280-35-5823;B;Mandalay;Member;Female;Home and lifestyle;8672;1;2024-05-06;18:45:00;Ewallet
554-53-8700;C;Naypyitaw;Member;Male;Home and lifestyle;5611;2;2024-05-06;10:11:00;Cash
354-25-5821;B;Mandalay;Member;Female;Sports and travel;6912;6;2024-05-06;13:03:00;Cash
228-96-1411;C;Naypyitaw;Member;Female;Food and beverages;987;8;2024-05-06;20:39:00;Cash
617-15-4209;C;Naypyitaw;Member;Male;Health and beauty;1537;2;2024-05-06;19:47:00;Cash
132-32-9879;B;Mandalay;Member;Female;Electronic accessories;9396;4;2024-05-06;18:00:00;Cash
370-41-7321;B;Mandalay;Member;Male;Health and beauty;5669;9;2024-05-06;17:24:00;Credit card
727-46-3608;B;Mandalay;Member;Female;Food and beverages;2001;9;2024-05-06;15:47:00;Ewallet
669-54-1719;B;Mandalay;Member;Male;Electronic accessories;1893;6;2024-05-06;12:45:00;Credit card
574-22-5561;C;Naypyitaw;Member;Female;Fashion accessories;8263;10;2024-05-06;17:08:00;Ewallet
326-78-5178;C;Naypyitaw;Member;Male;Food and beverages;914;7;2024-05-06;10:19:00;Cash
162-48-8011;A;Yangon;Member;Female;Food and beverages;4459;5;2024-05-06;15:10:00;Cash
616-24-2851;B;Mandalay;Member;Female;Fashion accessories;1787;4;2024-05-06;14:42:00;Ewallet
778-71-5554;C;Naypyitaw;Member;Male;Fashion accessories;1543;1;2024-05-06;15:46:00;Credit card
242-55-6721;B;Mandalay;Normal;Male;Home and lifestyle;1616;2;2024-05-06;11:49:00;Ewallet
399-46-5918;C;Naypyitaw;Normal;Female;Electronic accessories;8598;8;2024-05-06;19:01:00;Cash
106-35-6779;A;Yangon;Member;Male;Home and lifestyle;4434;2;2024-05-06;11:26:00;Cash
635-40-6220;A;Yangon;Normal;Male;Health and beauty;896;8;2024-05-06;11:28:00;Ewallet
817-48-8732;A;Yangon;Member;Female;Home and lifestyle;7235;10;2024-05-06;15:55:00;Cash
120-06-4233;C;Naypyitaw;Normal;Male;Electronic accessories;3061;6;2024-05-06;20:36:00;Cash
285-68-5083;C;Naypyitaw;Member;Female;Sports and travel;2474;3;2024-05-06;17:47:00;Credit card
803-83-5989;C;Naypyitaw;Normal;Male;Home and lifestyle;5573;6;2024-05-06;10:55:00;Ewallet
347-34-2234;B;Mandalay;Member;Female;Sports and travel;5507;9;2024-05-06;13:40:00;Ewallet
199-75-8169;A;Yangon;Member;Male;Sports and travel;1581;10;2024-05-06;12:27:00;Credit card
853-23-2453;B;Mandalay;Member;Male;Health and beauty;7574;4;2024-05-06;14:35:00;Cash
877-22-3308;A;Yangon;Member;Male;Health and beauty;1587;10;2024-05-06;16:40:00;Cash
838-78-4295;C;Naypyitaw;Normal;Female;Health and beauty;3347;2;2024-05-06;15:43:00;Ewallet
109-28-2512;B;Mandalay;Member;Female;Fashion accessories;9761;6;2024-05-06;15:01:00;Ewallet
232-11-3025;A;Yangon;Normal;Male;Sports and travel;7877;10;2024-05-06;10:04:00;Cash
382-03-4532;A;Yangon;Member;Female;Health and beauty;1833;1;2024-05-06;18:50:00;Cash
393-65-2792;C;Naypyitaw;Normal;Male;Food and beverages;8948;10;2024-05-06;12:46:00;Credit card
796-12-2025;C;Naypyitaw;Normal;Male;Fashion accessories;6212;10;2024-05-06;16:19:00;Cash
510-95-6347;B;Mandalay;Member;Female;Food and beverages;4852;3;2024-05-06;18:17:00;Ewallet
841-35-6630;C;Naypyitaw;Normal;Female;Electronic accessories;7591;6;2024-05-06;18:21:00;Cash
287-21-9091;A;Yangon;Normal;Male;Home and lifestyle;7467;9;2024-05-06;10:55:00;Ewallet
732-94-0499;C;Naypyitaw;Normal;Female;Electronic accessories;4165;10;2024-05-06;17:04:00;Credit card
263-10-3913;C;Naypyitaw;Member;Male;Fashion accessories;4904;9;2024-05-06;14:20:00;Credit card
381-20-0914;A;Yangon;Member;Female;Fashion accessories;2001;9;2024-05-06;15:48:00;Credit card
829-49-1914;C;Naypyitaw;Member;Female;Food and beverages;7831;10;2024-05-06;16:24:00;Ewallet
756-01-7507;C;Naypyitaw;Normal;Female;Health and beauty;2038;5;2024-05-06;18:56:00;Cash
870-72-4431;C;Naypyitaw;Normal;Female;Health and beauty;9919;6;2024-05-06;14:42:00;Credit card
847-38-7188;B;Mandalay;Normal;Female;Food and beverages;9668;3;2024-05-06;19:56:00;Ewallet
480-63-2856;C;Naypyitaw;Normal;Male;Food and beverages;1925;8;2024-05-06;18:37:00;Ewallet
787-56-0757;C;Naypyitaw;Member;Female;Food and beverages;8036;4;2024-05-06;18:45:00;Credit card
360-39-5055;C;Naypyitaw;Member;Male;Sports and travel;4891;5;2024-05-06;10:17:00;Cash
730-50-9884;C;Naypyitaw;Normal;Female;Sports and travel;8306;7;2024-05-06;14:31:00;Ewallet
362-58-8315;C;Naypyitaw;Normal;Male;Fashion accessories;7652;5;2024-05-06;10:23:00;Cash
633-44-8566;A;Yangon;Member;Male;Food and beverages;4938;7;2024-05-06;20:35:00;Credit card
504-35-8843;A;Yangon;Normal;Male;Sports and travel;4247;1;2024-05-06;16:57:00;Cash
318-68-5053;B;Mandalay;Normal;Female;Health and beauty;7699;6;2024-05-06;17:55:00;Cash
565-80-5980;C;Naypyitaw;Member;Female;Home and lifestyle;4738;4;2024-05-06;10:25:00;Cash
225-32-0908;C;Naypyitaw;Normal;Female;Sports and travel;4486;10;2024-05-06;19:54:00;Ewallet
873-51-0671;A;Yangon;Member;Female;Sports and travel;2198;7;2024-05-06;16:42:00;Ewallet
152-08-9985;B;Mandalay;Member;Male;Health and beauty;6436;9;2024-05-06;12:09:00;Credit card
512-91-0811;C;Naypyitaw;Normal;Male;Health and beauty;8975;1;2024-05-06;20:05:00;Credit card
594-34-4444;A;Yangon;Normal;Male;Electronic accessories;9716;1;2024-05-06;20:38:00;Ewallet
766-85-7061;B;Mandalay;Normal;Male;Health and beauty;8787;10;2024-05-06;10:25:00;Ewallet
871-39-9221;C;Naypyitaw;Normal;Female;Electronic accessories;1245;6;2024-05-06;13:11:00;Cash
865-92-6136;A;Yangon;Normal;Male;Food and beverages;5275;3;2024-05-06;10:16:00;Ewallet
733-01-9107;B;Mandalay;Normal;Male;Home and lifestyle;827;6;2024-05-06;18:14:00;Cash
163-56-7055;C;Naypyitaw;Member;Male;Fashion accessories;4871;1;2024-05-06;19:20:00;Cash
189-98-2939;C;Naypyitaw;Normal;Male;Fashion accessories;7855;9;2024-05-06;13:22:00;Cash
551-21-3069;C;Naypyitaw;Normal;Female;Electronic accessories;2307;9;2024-05-06;11:27:00;Cash
212-62-1842;A;Yangon;Normal;Male;Food and beverages;5826;6;2024-05-06;16:44:00;Cash
716-39-1409;B;Mandalay;Normal;Male;Health and beauty;3035;7;2024-05-06;18:19:00;Cash
704-48-3927;A;Yangon;Member;Male;Electronic accessories;8867;10;2024-05-06;14:50:00;Ewallet
628-34-3388;C;Naypyitaw;Normal;Male;Fashion accessories;2738;6;2024-05-06;20:54:00;Credit card
630-74-5166;A;Yangon;Normal;Male;Sports and travel;6213;6;2024-05-06;20:19:00;Cash
588-01-7461;C;Naypyitaw;Normal;Female;Food and beverages;3398;9;2024-05-06;10:43:00;Cash
861-77-0145;C;Naypyitaw;Member;Male;Electronic accessories;8197;10;2024-05-06;14:30:00;Cash
479-26-8945;B;Mandalay;Member;Female;Sports and travel;1649;2;2024-05-06;11:32:00;Ewallet
210-67-5886;C;Naypyitaw;Member;Female;Health and beauty;9821;3;2024-05-06;10:41:00;Credit card
227-78-1148;B;Mandalay;Normal;Female;Fashion accessories;7284;7;2024-05-06;12:44:00;Cash
645-44-1170;A;Yangon;Member;Male;Home and lifestyle;5807;9;2024-05-06;20:07:00;Ewallet
237-01-6122;C;Naypyitaw;Member;Female;Home and lifestyle;8079;9;2024-05-06;20:31:00;Credit card
225-98-1496;C;Naypyitaw;Normal;Female;Fashion accessories;2702;3;2024-05-06;13:01:00;Credit card
291-32-1427;B;Mandalay;Member;Male;Fashion accessories;2194;5;2024-05-06;12:29:00;Ewallet
659-65-8956;B;Mandalay;Member;Male;Fashion accessories;5136;1;2024-05-06;15:26:00;Ewallet
642-32-2990;A;Yangon;Normal;Female;Food and beverages;1096;10;2024-05-06;20:48:00;Ewallet
378-24-2715;B;Mandalay;Normal;Male;Home and lifestyle;5344;2;2024-05-06;20:38:00;Ewallet
638-60-7125;A;Yangon;Normal;Female;Electronic accessories;9956;8;2024-05-06;17:03:00;Credit card
659-36-1684;C;Naypyitaw;Member;Male;Sports and travel;5712;7;2024-05-06;12:02:00;Credit card
219-22-9386;B;Mandalay;Member;Male;Sports and travel;9996;9;2024-05-06;17:26:00;Credit card
336-78-2147;C;Naypyitaw;Member;Male;Home and lifestyle;6391;8;2024-05-06;19:52:00;Credit card
268-27-6179;B;Mandalay;Member;Female;Fashion accessories;5647;8;2024-05-06;14:57:00;Ewallet
668-90-8900;A;Yangon;Normal;Female;Home and lifestyle;9369;7;2024-05-06;18:44:00;Credit card
870-54-3162;A;Yangon;Normal;Female;Sports and travel;3225;5;2024-05-06;13:26:00;Cash
189-08-9157;C;Naypyitaw;Normal;Female;Fashion accessories;3173;9;2024-05-06;16:17:00;Credit card
663-86-9076;C;Naypyitaw;Member;Female;Food and beverages;6854;8;2024-05-06;15:57:00;Ewallet
549-84-7482;B;Mandalay;Normal;Female;Sports and travel;9028;9;2024-05-06;11:15:00;Ewallet
191-10-6171;B;Mandalay;Normal;Female;Fashion accessories;3962;7;2024-05-06;13:18:00;Cash
802-70-5316;A;Yangon;Member;Female;Sports and travel;9213;6;2024-05-06;20:34:00;Cash
695-51-0018;B;Mandalay;Normal;Female;Sports and travel;3484;4;2024-05-06;18:36:00;Cash
590-83-4591;B;Mandalay;Member;Male;Electronic accessories;8745;6;2024-05-06;14:40:00;Credit card
483-71-1164;C;Naypyitaw;Normal;Female;Health and beauty;813;6;2024-05-06;16:43:00;Ewallet
597-78-7908;C;Naypyitaw;Normal;Male;Fashion accessories;9022;3;2024-05-06;19:39:00;Cash
700-81-1757;A;Yangon;Normal;Female;Electronic accessories;2631;5;2024-05-06;20:59:00;Credit card
354-39-5160;A;Yangon;Member;Female;Home and lifestyle;3442;6;2024-05-06;15:39:00;Cash
241-72-9525;B;Mandalay;Normal;Male;Sports and travel;5191;10;2024-05-06;12:21:00;Cash
575-30-8091;A;Yangon;Normal;Male;Sports and travel;725;8;2024-05-06;19:25:00;Ewallet
731-81-9469;C;Naypyitaw;Member;Female;Sports and travel;898;10;2024-05-06;13:00:00;Credit card
280-17-4359;C;Naypyitaw;Member;Male;Health and beauty;905;10;2024-05-06;13:48:00;Cash
338-65-2210;C;Naypyitaw;Member;Female;Health and beauty;686;10;2024-05-06;19:57:00;Cash
488-25-4221;C;Naypyitaw;Member;Female;Food and beverages;3041;1;2024-05-06;10:36:00;Credit card
239-10-7476;A;Yangon;Normal;Female;Home and lifestyle;7795;6;2024-05-06;16:37:00;Ewallet
458-41-1477;C;Naypyitaw;Normal;Female;Health and beauty;4626;6;2024-05-06;17:11:00;Credit card
685-64-1609;A;Yangon;Member;Female;Fashion accessories;3014;10;2024-05-06;12:28:00;Ewallet
568-90-5112;C;Naypyitaw;Normal;Male;Health and beauty;6614;4;2024-05-06;12:46:00;Credit card
262-47-2794;B;Mandalay;Member;Male;Home and lifestyle;7186;8;2024-05-06;15:07:00;Credit card
238-49-0436;A;Yangon;Normal;Male;Health and beauty;3246;8;2024-05-06;13:48:00;Credit card
608-96-3517;B;Mandalay;Member;Female;Fashion accessories;9154;4;2024-05-06;19:20:00;Credit card
584-86-7256;C;Naypyitaw;Member;Male;Sports and travel;3456;7;2024-05-06;16:07:00;Credit card
746-94-0204;A;Yangon;Normal;Male;Fashion accessories;8324;9;2024-05-06;11:56:00;Credit card
214-17-6927;C;Naypyitaw;Normal;Female;Food and beverages;1648;6;2024-05-06;18:23:00;Ewallet
400-89-4171;C;Naypyitaw;Normal;Female;Sports and travel;8097;8;2024-05-06;13:05:00;Cash
782-95-9291;A;Yangon;Member;Male;Food and beverages;9229;5;2024-05-06;15:55:00;Credit card
279-74-2924;B;Mandalay;Member;Male;Electronic accessories;7217;1;2024-05-06;19:40:00;Cash
307-85-2293;B;Mandalay;Normal;Male;Home and lifestyle;5028;5;2024-05-06;13:58:00;Ewallet
743-04-1105;B;Mandalay;Member;Male;Health and beauty;9722;9;2024-05-06;14:43:00;Ewallet
423-57-2993;B;Mandalay;Normal;Male;Sports and travel;9339;6;2024-05-06;19:18:00;Ewallet
894-41-5205;C;Naypyitaw;Normal;Female;Food and beverages;4318;8;2024-05-06;19:39:00;Credit card
275-28-0149;A;Yangon;Normal;Male;Sports and travel;6369;1;2024-05-06;16:21:00;Cash
101-17-6199;A;Yangon;Normal;Male;Food and beverages;4579;7;2024-05-06;19:44:00;Credit card
423-80-0988;C;Naypyitaw;Normal;Male;Sports and travel;764;2;2024-05-06;19:42:00;Ewallet
548-46-9322;B;Mandalay;Normal;Male;Food and beverages;399;10;2024-05-06;15:24:00;Credit card
505-02-0892;B;Mandalay;Member;Male;Health and beauty;4257;8;2024-05-06;14:12:00;Ewallet
234-65-2137;C;Naypyitaw;Normal;Male;Home and lifestyle;9558;10;2024-05-06;13:32:00;Cash
687-47-8271;A;Yangon;Normal;Male;Fashion accessories;9898;10;2024-05-06;16:20:00;Credit card
796-32-9050;A;Yangon;Normal;Male;Food and beverages;5128;6;2024-05-06;16:31:00;Cash
105-31-1824;A;Yangon;Member;Male;Sports and travel;6952;7;2024-05-06;15:10:00;Credit card
249-42-3782;A;Yangon;Normal;Male;Health and beauty;7001;5;2024-05-06;11:36:00;Ewallet
316-55-4634;B;Mandalay;Member;Male;Food and beverages;8005;5;2024-05-06;12:45:00;Credit card
733-33-4967;C;Naypyitaw;Normal;Male;Electronic accessories;2085;8;2024-05-06;19:17:00;Cash
608-27-6295;B;Mandalay;Member;Male;Electronic accessories;5289;6;2024-05-06;17:34:00;Credit card
414-12-7047;B;Mandalay;Normal;Male;Food and beverages;1979;8;2024-05-06;12:04:00;Ewallet
827-26-2100;A;Yangon;Member;Male;Home and lifestyle;3384;9;2024-05-06;16:21:00;Ewallet
175-54-2529;A;Yangon;Member;Male;Food and beverages;2217;8;2024-05-06;17:01:00;Credit card
139-52-2867;C;Naypyitaw;Normal;Female;Fashion accessories;2251;7;2024-05-06;10:50:00;Credit card
407-63-8975;A;Yangon;Normal;Male;Food and beverages;7388;6;2024-05-06;19:16:00;Ewallet
342-65-4817;C;Naypyitaw;Member;Male;Health and beauty;868;3;2024-05-06;16:47:00;Ewallet
130-98-8941;C;Naypyitaw;Normal;Male;Fashion accessories;6426;7;2024-05-06;10:00:00;Cash
434-83-9547;C;Naypyitaw;Member;Male;Food and beverages;3847;8;2024-05-06;11:51:00;Cash
851-28-6367;A;Yangon;Member;Male;Sports and travel;155;10;2024-05-06;10:55:00;Ewallet
824-88-3614;C;Naypyitaw;Normal;Male;Health and beauty;3431;8;2024-05-06;15:00:00;Ewallet
586-25-0848;A;Yangon;Normal;Female;Sports and travel;1234;7;2024-05-06;11:19:00;Credit card
895-66-0685;B;Mandalay;Member;Male;Food and beverages;1808;3;2024-05-06;19:46:00;Ewallet
305-14-0245;B;Mandalay;Member;Female;Home and lifestyle;9449;8;2024-05-06;19:00:00;Ewallet
732-04-5373;B;Mandalay;Member;Male;Home and lifestyle;4647;4;2024-05-06;10:53:00;Cash
400-60-7251;A;Yangon;Normal;Male;Home and lifestyle;7407;1;2024-05-06;12:50:00;Ewallet
593-65-1552;C;Naypyitaw;Normal;Female;Home and lifestyle;6981;4;2024-05-06;20:50:00;Credit card
284-34-9626;B;Mandalay;Normal;Female;Home and lifestyle;7704;3;2024-05-06;10:39:00;Credit card
437-58-8131;B;Mandalay;Normal;Female;Fashion accessories;7352;2;2024-05-06;13:41:00;Ewallet
286-43-6208;C;Naypyitaw;Normal;Female;Food and beverages;878;9;2024-05-06;19:08:00;Cash
641-43-2399;B;Mandalay;Normal;Male;Home and lifestyle;2555;4;2024-05-06;20:23:00;Ewallet
831-07-6050;A;Yangon;Normal;Male;Electronic accessories;3271;5;2024-05-06;11:30:00;Credit card
556-86-3144;C;Naypyitaw;Member;Female;Fashion accessories;7429;1;2024-05-06;19:30:00;Cash
848-24-9445;C;Naypyitaw;Member;Male;Health and beauty;437;2;2024-05-06;18:03:00;Cash
856-22-8149;A;Yangon;Normal;Female;Home and lifestyle;2529;1;2024-05-06;10:13:00;Ewallet
699-01-4164;C;Naypyitaw;Normal;Male;Health and beauty;415;4;2024-05-06;19:58:00;Credit card
420-11-4919;C;Naypyitaw;Member;Female;Food and beverages;7139;5;2024-05-06;19:57:00;Credit card
606-80-4905;C;Naypyitaw;Member;Female;Sports and travel;1915;6;2024-05-06;10:01:00;Credit card
542-41-0513;B;Mandalay;Member;Female;Electronic accessories;5749;4;2024-05-06;11:57:00;Cash
426-39-2418;C;Naypyitaw;Normal;Male;Electronic accessories;6141;7;2024-05-06;10:02:00;Cash
875-46-5808;B;Mandalay;Member;Male;Health and beauty;259;10;2024-05-06;14:51:00;Ewallet
394-43-4238;B;Mandalay;Member;Male;Home and lifestyle;1777;5;2024-05-06;12:42:00;Credit card
749-24-1565;A;Yangon;Normal;Female;Health and beauty;2303;9;2024-05-06;12:02:00;Ewallet
672-51-8681;C;Naypyitaw;Member;Female;Electronic accessories;6665;9;2024-05-06;18:19:00;Credit card
263-87-5680;C;Naypyitaw;Member;Female;Home and lifestyle;2853;10;2024-05-06;17:38:00;Ewallet
573-58-9734;B;Mandalay;Normal;Female;Fashion accessories;3037;3;2024-05-06;13:41:00;Ewallet
817-69-8206;B;Mandalay;Normal;Female;Electronic accessories;9973;9;2024-05-06;19:42:00;Credit card
888-02-0338;A;Yangon;Normal;Male;Electronic accessories;2623;9;2024-05-06;20:24:00;Ewallet
677-11-0152;C;Naypyitaw;Normal;Female;Food and beverages;9326;9;2024-05-06;18:08:00;Cash
142-63-6033;B;Mandalay;Normal;Male;Home and lifestyle;9236;5;2024-05-06;19:17:00;Ewallet
656-16-1063;B;Mandalay;Normal;Male;Sports and travel;4642;3;2024-05-06;13:24:00;Credit card
891-58-8335;B;Mandalay;Member;Female;Sports and travel;2961;7;2024-05-06;15:53:00;Cash
802-43-8934;A;Yangon;Normal;Male;Home and lifestyle;1828;1;2024-05-06;15:05:00;Credit card
560-30-5617;B;Mandalay;Normal;Female;Sports and travel;2477;5;2024-05-06;18:27:00;Cash
319-74-2561;A;Yangon;Member;Female;Electronic accessories;9464;3;2024-05-06;16:55:00;Cash
549-03-9315;B;Mandalay;Normal;Male;Fashion accessories;9487;8;2024-05-06;12:58:00;Ewallet
790-29-1172;B;Mandalay;Normal;Female;Food and beverages;5734;3;2024-05-06;18:59:00;Credit card
239-36-3640;B;Mandalay;Normal;Male;Electronic accessories;4535;6;2024-05-06;13:44:00;Ewallet
468-01-2051;B;Mandalay;Normal;Male;Food and beverages;6208;7;2024-05-06;13:46:00;Ewallet
389-25-3394;C;Naypyitaw;Normal;Male;Electronic accessories;1181;5;2024-05-06;18:06:00;Cash
279-62-1445;C;Naypyitaw;Member;Female;Fashion accessories;1254;1;2024-05-06;12:38:00;Cash
213-72-6612;A;Yangon;Normal;Male;Food and beverages;4325;2;2024-05-06;15:56:00;Cash
746-68-6593;C;Naypyitaw;Member;Female;Sports and travel;8716;2;2024-05-06;14:29:00;Credit card
836-82-5858;B;Mandalay;Member;Male;Health and beauty;6937;9;2024-05-06;19:14:00;Ewallet
583-72-1480;C;Naypyitaw;Member;Male;Electronic accessories;3706;4;2024-05-06;16:24:00;Ewallet
466-61-5506;B;Mandalay;Member;Female;Electronic accessories;907;6;2024-05-06;10:52:00;Cash
721-86-6247;A;Yangon;Normal;Female;Home and lifestyle;6342;8;2024-05-06;12:55:00;Ewallet
289-65-5721;B;Mandalay;Normal;Female;Fashion accessories;8137;2;2024-05-06;19:28:00;Cash
545-46-3100;B;Mandalay;Member;Female;Electronic accessories;1059;3;2024-05-06;13:52:00;Credit card
418-02-5978;B;Mandalay;Normal;Female;Health and beauty;8409;9;2024-05-06;10:54:00;Cash
269-04-5750;B;Mandalay;Member;Male;Fashion accessories;7382;4;2024-05-06;18:31:00;Cash
157-13-5295;A;Yangon;Member;Male;Health and beauty;5194;10;2024-05-06;18:24:00;Ewallet
645-78-8093;A;Yangon;Normal;Female;Sports and travel;9314;2;2024-05-06;18:09:00;Ewallet
211-30-9270;C;Naypyitaw;Normal;Male;Health and beauty;1741;5;2024-05-06;15:16:00;Credit card
755-12-3214;C;Naypyitaw;Member;Female;Fashion accessories;4422;5;2024-05-06;17:07:00;Credit card
346-84-3103;B;Mandalay;Member;Female;Electronic accessories;1322;5;2024-05-06;19:26:00;Cash
478-06-7835;A;Yangon;Normal;Male;Fashion accessories;8969;1;2024-05-06;11:20:00;Ewallet
540-11-4336;A;Yangon;Normal;Male;Food and beverages;2494;9;2024-05-06;16:49:00;Credit card
448-81-5016;A;Yangon;Normal;Male;Health and beauty;5977;2;2024-05-06;12:01:00;Credit card
142-72-4741;C;Naypyitaw;Member;Male;Fashion accessories;932;2;2024-05-06;18:37:00;Credit card
217-58-1179;A;Yangon;Member;Male;Home and lifestyle;6265;4;2024-05-06;11:25:00;Cash
376-02-8238;B;Mandalay;Normal;Male;Home and lifestyle;9387;8;2024-05-06;18:42:00;Credit card
530-90-9855;A;Yangon;Member;Male;Home and lifestyle;4759;8;2024-05-06;14:47:00;Cash
866-05-7563;B;Mandalay;Member;Female;Electronic accessories;814;3;2024-05-06;19:43:00;Cash
604-70-6476;A;Yangon;Member;Male;Fashion accessories;1794;5;2024-05-06;14:04:00;Ewallet
799-71-1548;A;Yangon;Member;Male;Electronic accessories;7772;4;2024-05-06;16:11:00;Credit card
785-13-7708;B;Mandalay;Normal;Male;Food and beverages;7306;7;2024-05-06;19:06:00;Credit card
845-51-0542;B;Mandalay;Member;Male;Food and beverages;4655;9;2024-05-06;15:34:00;Ewallet
662-47-5456;C;Naypyitaw;Member;Male;Fashion accessories;3519;10;2024-05-06;19:06:00;Credit card
883-17-4236;C;Naypyitaw;Normal;Female;Sports and travel;1439;2;2024-05-06;19:44:00;Credit card
290-68-2984;A;Yangon;Normal;Male;Home and lifestyle;2375;4;2024-05-06;11:22:00;Cash
704-11-6354;A;Yangon;Member;Male;Home and lifestyle;589;8;2024-05-06;11:23:00;Cash
110-48-7033;B;Mandalay;Member;Male;Fashion accessories;3262;4;2024-05-06;14:12:00;Cash
366-93-0948;A;Yangon;Member;Male;Electronic accessories;6635;1;2024-05-06;10:46:00;Credit card
729-09-9681;A;Yangon;Member;Male;Home and lifestyle;2591;6;2024-05-06;10:16:00;Ewallet
151-16-1484;A;Yangon;Member;Male;Electronic accessories;3225;4;2024-05-06;12:38:00;Ewallet
380-94-4661;C;Naypyitaw;Member;Male;Electronic accessories;6594;4;2024-05-06;13:05:00;Credit card
850-41-9669;A;Yangon;Normal;Female;Electronic accessories;7506;9;2024-05-06;13:25:00;Ewallet
821-07-3596;C;Naypyitaw;Normal;Female;Fashion accessories;1645;4;2024-05-06;14:53:00;Ewallet
655-85-5130;B;Mandalay;Member;Female;Fashion accessories;383;4;2024-05-06;19:22:00;Cash
447-15-7839;A;Yangon;Member;Female;Sports and travel;2224;10;2024-05-06;11:00:00;Cash
154-74-7179;B;Mandalay;Normal;Male;Sports and travel;5445;1;2024-05-06;19:24:00;Ewallet
